自定义相机编号,模穴号,坦克链号,日期,CCD0结果,结果返回码,Ai返回码
L29C1-1,2,7,05:07:09,OK,0,0,
L29C1-1,2,7,05:07:09,OK,0,0,

L29C1-1,28,9,05:07:15,OK,0,0,
L29C1-1,28,9,05:07:15,OK,0,0,
L29C1-1,27,9,05:07:15,OK,0,0,
L29C1-1,27,9,05:07:15,OK,0,0,
L29C1-1,20,9,05:07:15,OK,0,0,
L29C1-1,20,9,05:07:15,OK,0,0,
L29C1-1,19,9,05:07:15,OK,0,0,
L29C1-1,19,9,05:07:15,OK,0,0,
L29C1-1,12,9,05:07:15,OK,0,0,
L29C1-1,12,9,05:07:15,OK,0,0,
L29C1-1,11,9,05:07:15,OK,0,0,
L29C1-1,11,9,05:07:15,OK,0,0,
L29C1-1,4,9,05:07:15,OK,0,0,
L29C1-1,4,9,05:07:15,OK,0,0,
L29C1-1,3,9,05:07:15,OK,0,0,
L29C1-1,3,9,05:07:15,OK,0,0,

L29C1-1,25,11,05:07:23,OK,0,0,
L29C1-1,25,11,05:07:23,OK,0,0,
L29C1-1,26,11,05:07:23,OK,0,0,
L29C1-1,26,11,05:07:23,OK,0,0,
L29C1-1,17,11,05:07:23,OK,0,0,
L29C1-1,17,11,05:07:23,OK,0,0,
L29C1-1,18,11,05:07:23,OK,0,0,
L29C1-1,18,11,05:07:23,OK,0,0,
L29C1-1,9,11,05:07:23,OK,0,0,
L29C1-1,9,11,05:07:23,OK,0,0,
L29C1-1,10,11,05:07:23,OK,0,0,
L29C1-1,10,11,05:07:23,OK,0,0,
L29C1-1,1,11,05:07:23,OK,0,0,
L29C1-1,1,11,05:07:23,OK,0,0,
L29C1-1,2,11,05:07:23,OK,0,0,
L29C1-1,2,11,05:07:23,OK,0,0,

L29C1-1,28,13,05:07:28,OK,0,0,
L29C1-1,28,13,05:07:28,OK,0,0,
L29C1-1,27,13,05:07:28,OK,0,0,
L29C1-1,27,13,05:07:28,OK,0,0,
L29C1-1,20,13,05:07:28,OK,0,0,
L29C1-1,20,13,05:07:28,OK,0,0,
L29C1-1,19,13,05:07:28,OK,0,0,
L29C1-1,19,13,05:07:28,OK,0,0,
L29C1-1,12,13,05:07:28,OK,0,0,
L29C1-1,12,13,05:07:28,OK,0,0,
L29C1-1,11,13,05:07:28,OK,0,0,
L29C1-1,11,13,05:07:28,OK,0,0,
L29C1-1,4,13,05:07:28,OK,0,0,
L29C1-1,4,13,05:07:28,OK,0,0,
L29C1-1,3,13,05:07:28,OK,0,0,
L29C1-1,3,13,05:07:28,OK,0,0,

L29C1-1,25,15,05:07:34,OK,0,0,
L29C1-1,25,15,05:07:34,OK,0,0,
L29C1-1,26,15,05:07:34,OK,0,0,
L29C1-1,26,15,05:07:34,OK,0,0,
L29C1-1,17,15,05:07:34,OK,0,0,
L29C1-1,17,15,05:07:34,OK,0,0,
L29C1-1,18,15,05:07:34,OK,0,0,
L29C1-1,18,15,05:07:34,OK,0,0,
L29C1-1,9,15,05:07:34,OK,0,0,
L29C1-1,9,15,05:07:34,OK,0,0,
L29C1-1,10,15,05:07:34,OK,0,0,
L29C1-1,10,15,05:07:34,OK,0,0,
L29C1-1,1,15,05:07:34,OK,0,0,
L29C1-1,1,15,05:07:34,OK,0,0,
L29C1-1,2,15,05:07:34,OK,0,0,
L29C1-1,2,15,05:07:34,OK,0,0,

L29C1-1,28,17,05:07:46,OK,0,0,
L29C1-1,28,17,05:07:46,OK,0,0,
L29C1-1,27,17,05:07:46,OK,0,0,
L29C1-1,27,17,05:07:46,OK,0,0,
L29C1-1,20,17,05:07:46,OK,0,0,
L29C1-1,20,17,05:07:46,OK,0,0,
L29C1-1,19,17,05:07:46,OK,0,0,
L29C1-1,19,17,05:07:46,OK,0,0,
L29C1-1,12,17,05:07:46,OK,0,0,
L29C1-1,12,17,05:07:46,OK,0,0,
L29C1-1,11,17,05:07:46,OK,0,0,
L29C1-1,11,17,05:07:46,OK,0,0,
L29C1-1,4,17,05:07:46,OK,0,0,
L29C1-1,4,17,05:07:46,OK,0,0,
L29C1-1,3,17,05:07:46,OK,0,0,
L29C1-1,3,17,05:07:46,OK,0,0,

L29C1-1,25,19,05:07:51,OK,0,0,
L29C1-1,25,19,05:07:51,OK,0,0,
L29C1-1,26,19,05:07:51,NG,1,3,
L29C1-1,26,19,05:07:51,OK,0,0,
L29C1-1,17,19,05:07:51,OK,0,0,
L29C1-1,17,19,05:07:51,OK,0,0,
L29C1-1,18,19,05:07:51,OK,0,0,
L29C1-1,18,19,05:07:51,OK,0,0,
L29C1-1,9,19,05:07:51,OK,0,0,
L29C1-1,9,19,05:07:51,OK,0,0,
L29C1-1,10,19,05:07:51,OK,0,0,
L29C1-1,10,19,05:07:51,OK,0,0,
L29C1-1,1,19,05:07:51,OK,0,0,
L29C1-1,1,19,05:07:51,OK,0,0,
L29C1-1,2,19,05:07:51,OK,0,0,
L29C1-1,2,19,05:07:51,OK,0,0,

L29C1-1,28,21,05:07:57,OK,0,0,
L29C1-1,28,21,05:07:57,OK,0,0,
L29C1-1,27,21,05:07:57,OK,0,0,
L29C1-1,27,21,05:07:57,OK,0,0,
L29C1-1,20,21,05:07:57,OK,0,0,
L29C1-1,20,21,05:07:57,OK,0,0,
L29C1-1,19,21,05:07:57,OK,0,0,
L29C1-1,19,21,05:07:57,OK,0,0,
L29C1-1,12,21,05:07:57,OK,0,0,
L29C1-1,12,21,05:07:57,OK,0,0,
L29C1-1,11,21,05:07:57,OK,0,0,
L29C1-1,11,21,05:07:57,OK,0,0,
L29C1-1,4,21,05:07:57,OK,0,0,
L29C1-1,4,21,05:07:57,OK,0,0,
L29C1-1,3,21,05:07:57,OK,0,0,
L29C1-1,3,21,05:07:57,OK,0,0,

L29C1-1,25,23,05:08:05,OK,0,0,
L29C1-1,25,23,05:08:05,OK,0,0,
L29C1-1,26,23,05:08:05,OK,0,0,
L29C1-1,26,23,05:08:05,OK,0,0,
L29C1-1,17,23,05:08:05,OK,0,0,
L29C1-1,17,23,05:08:05,OK,0,0,
L29C1-1,18,23,05:08:05,OK,0,0,
L29C1-1,18,23,05:08:05,OK,0,0,
L29C1-1,9,23,05:08:05,OK,0,0,
L29C1-1,9,23,05:08:05,OK,0,0,
L29C1-1,10,23,05:08:05,OK,0,0,
L29C1-1,10,23,05:08:05,OK,0,0,
L29C1-1,1,23,05:08:05,OK,0,0,
L29C1-1,1,23,05:08:05,OK,0,0,
L29C1-1,2,23,05:08:05,OK,0,0,
L29C1-1,2,23,05:08:05,OK,0,0,

L29C1-1,28,25,05:08:11,OK,0,0,
L29C1-1,28,25,05:08:11,OK,0,0,
L29C1-1,27,25,05:08:11,OK,0,0,
L29C1-1,27,25,05:08:11,OK,0,0,
L29C1-1,20,25,05:08:11,OK,0,0,
L29C1-1,20,25,05:08:11,OK,0,0,
L29C1-1,19,25,05:08:11,OK,0,0,
L29C1-1,19,25,05:08:11,OK,0,0,
L29C1-1,12,25,05:08:11,OK,0,0,
L29C1-1,12,25,05:08:11,OK,0,0,
L29C1-1,11,25,05:08:11,OK,0,0,
L29C1-1,11,25,05:08:11,OK,0,0,
L29C1-1,4,25,05:08:11,OK,0,0,
L29C1-1,4,25,05:08:11,OK,0,0,
L29C1-1,3,25,05:08:11,OK,0,0,
L29C1-1,3,25,05:08:11,OK,0,0,

L29C1-1,25,27,05:08:16,OK,0,0,
L29C1-1,25,27,05:08:16,OK,0,0,
